"PRODUCT NAME","CODE EA","RATTANA UNIT EA","CODE PA","RATTANA UNIT PA","CODE BP","RATTANA UNIT BP","CODE CS","RATTANA UNIT CS","UNIT EA","UNIT PA","UNIT BP","UNIT CS","QTY EA","QTY PA","QTY BP","QTY CS","CS PALLET","CS LAYER","NUMBER OF LAYERS","PRICE CC00 EA","PRICE CC00 PA","PRICE CC00 BP","PRICE CC00 CS","PRICE CC01 EA","PRICE CC01 PA","PRICE CC01 BP","PRICE CC01 CS","PRICE CC02 EA","PRICE CC02 PA","PRICE CC02 BP","PRICE CC02 CS","PRICE CC03 EA","PRICE CC03 PA","PRICE CC03 BP","PRICE CC03 CS","PRICE S00 EA","PRICE S00 PA","PRICE S00 BP","PRICE S00 CS","PRICE S01 EA","PRICE S01 PA","PRICE S01 BP","PRICE S01 CS","PRICE S02 EA","PRICE S02 PA","PRICE S02 BP","PRICE S02 CS","PRICE S03 EA","PRICE S03 PA","PRICE S03 BP","PRICE S03 CS","CAT BU","CAT TYPE","CAT GROUP","CAT BRAND","CAT SIZE","CAT VENDOR","VENDOR CODE","VENDOR NAME","SKU LIFE (DAYS)","UNIT VALUE","DESCRIPTION","FIRST STOCK DATE","SHORT NAME","STOCK W1","STOCK W2","STOCK W3","STOCK W4","STOCK C4","STOCK E1","STOCK EW2","STOCK EW3","STOCK EW4","STOCK V1","STOCK V2","STOCK V3","STOCK V4","STOCK SM","STOCK SD","STOCK HW1","STOCK HW4","STOCK PROMO1","AVERAGE 60D_W1","AVERAGE 60D_W2","AVERAGE 60D_W3","AVERAGE 60D_W4","AVERAGE 60D_C4","RANK W1","RANK W2","RANK W3","RANK W4","RANK C4","IB W1","IB W2","IB W3","IB W4","IB C4","SKU_USAGE","SKU_LEAD_TIME","OR W1","OR REF W1","OR_CS.EA W1","OR W2","OR REF W2","OR_CS.EA W2","OR W3","OR REF W3","OR_CS.EA W3","OR W4","OR REF W4","OR_CS.EA W4","OR C4","OR REF C4","OR_CS.EA C4","SELL 7D W1","SELL 7D W2","SELL 7D W3","SELL 7D W4","SELL 7D C4","AGENT","GOODS_WEIGHT","VAT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ดาว เกล็ดมะพร้าว 1000ก.","8850310063064","EA","","","","","8850310174175","CS","ชิ้นx1(EA)","","","ลังx10(CS)","1","","","10","0","0","0","273","","","2705","275","","","2725","277","","","2745","280","","","2775","273","","","2705","275","","","2725","277","","","2745","280","","","2775","Bplus FMCG","วัตถุดิบทำอาหาร","วัตถุดิบทำอาหาร","ตราดาว","ไม่กำหนดขนาด","บจก. กล-สรา ค้าส่ง","CR06800003","บจก. กล-สรา ค้าส่ง","365","1","","2026/03/10","","","","","1.0","1.0","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","2026/03/26 VOLUME 2.0 FREE 0.0 VALUE 2659.97","2026/03/26 VOLUME 2.0 FREE 0.0 VALUE 2659.97","https://drive.google.com/uc?export=download&id=1TDaL_lMzK5vuUKAK-B8q1xY5KOp5uaxO","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ดีเวลล่า บิสกิตแท่ง 400ก.","","","","","","","8005121213300","CS","","","","ชิ้นx1(CS)","","","","1","0","0","0","","","","185","","","","190","","","","195","","","","200","","","","185","","","","190","","","","195","","","","200","Bplus FMCG","วัตถุดิบทำอาหาร","วัตถุดิบทำอาหาร","ดีเวลล่า","ไม่กำหนดขนาด","บจก. กล-สรา ค้าส่ง","CR06800003","บจก. กล-สรา ค้าส่ง","365","1","","2026/03/10","","","","","","0.0","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","2026/03/10 VOLUME 7.0 FREE 0.0 VALUE 166.00","https://drive.google.com/uc?export=download&id=1vzCg1JUPpVRzz2V5jecgpoA2RIBs8TKV","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"เดบิค วิปปิ้งครีม 1ล.","5410488823674","EA","","","","","5410488834785","CS","ชิ้นx1(EA)","","","ลังx6(CS)","1","","","6","0","0","0","220","","","1300","225","","","1310","230","","","1320","235","","","1330","220","","","1300","225","","","1310","230","","","1320","235","","","1330","Bplus FMCG","วัตถุดิบทำอาหาร","วัตถุดิบทำอาหาร","เดบิค","ไม่กำหนดขนาด","บจก.กล-สรา ค้าส่ง","CR06900071","บจก. กล-สรา ค้าส่ง","365","1","","2026/03/13","","","","","","0.0","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","2026/03/13 VOLUME 1.0 FREE 0.0 VALUE 1290.42","https://drive.google.com/uc?export=download&id=1YUxh6CjyvUY3gpHYXak6QJIxsuhrUU58","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"โดนัท ผงปรุงรสชีส 100ก.","","","","","","","8857124780521","CS","","","","ชิ้นx1(CS)","","","","1","0","0","0","","","","28","","","","30","","","","32","","","","34","","","","28","","","","30","","","","32","","","","34","Bplus FMCG","วัตถุดิบทำอาหาร","ผงปรุงรส","โดนัท","ไม่กำหนดขนาด","บจก.กล-สรา ค้าส่ง","CR06800003","บจก. กล-สรา ค้าส่ง","365","1","","2026/03/12","","","","","","100.0","","","","","","","","","","","","","","0","0","0","0","0.1","","","","","F","","","","","2026/03/13 VOLUME 120.0 FREE 0.0 VALUE 22.29","https://drive.google.com/uc?export=download&id=1ZKjd3AtabmnrOgDebMFP_iF6ZmB0dJCK","7","","","","","","","","","","","","","","","","0","0","0","0","1","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"โดนัท ผงปรุงรสชีส 500ก.","8857124780019","EA","","","","","8857124891120","CS","ชิ้นx1(EA)","","","ลังx40(CS)","1","","","40","0","0","0","84","","","3335","86","","","3415","89","","","3535","91","","","3615","84","","","3335","86","","","3415","89","","","3535","91","","","3615","Bplus FMCG","อาหารสำเร็จรูป","ผงปรุงรส","โดนัท","ไม่กำหนดขนาด","บจก.กล-สรา ค้าส่ง","CR06800003","บจก. กล-สรา ค้าส่ง","365","1","","2026/03/12","","","","","","0.11","","","","","","","","","","","","","","0","0","0","0","0","","","","","F","","","","","2026/03/13 VOLUME 1.0 FREE 0.0 VALUE 3280.00","https://drive.google.com/uc?export=download&id=1yjCrONp9rW9bvaoLvKQSSWiousV5rFdB","7","","","","","","","","","","","","","","","","0","0","0","0","2","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"โดนัท ผงปรุงรสต้มยำ 100ก.","","","","","","","8857124780514","CS","","","","ชิ้นx1(CS)","","","","1","0","0","0","","","","28","","","","30","","","","32","","","","34","","","","28","","","","30","","","","32","","","","34","Bplus FMCG","อาหารสำเร็จรูป","ผงปรุงรส","โดนัท","ไม่กำหนดขนาด","บจก. กล-สรา ค้าส่ง","CR06800003","บจก. กล-สรา ค้าส่ง","365","0","","2026/03/12","","","","","","95.0","","","","","","","","","","","","","","0","0","0","0","0.1","","","","","F","","","","","2026/03/13 VOLUME 120.0 FREE 0.0 VALUE 22.29","https://drive.google.com/uc?export=download&id=1grNhGY4SZlRv4pfwf0oj5zTXsa2Cx3HI","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"โดนัท ผงปรุงรสบาร์บีคิว 500ก.","8857124780033","EA","","","","","8857124891144","CS","ชิ้นx1(EA)","","","ลังx40(CS)","1","","","40","0","0","0","84","","","3335","86","","","3415","89","","","3535","91","","","3615","84","","","3335","86","","","3415","89","","","3535","91","","","3615","Bplus FMCG","อาหารสำเร็จรูป","ผงปรุงรส","โดนัท","ไม่กำหนดขนาด","บจก.กล-สรา ค้าส่ง","CR06800003","บจก. กล-สรา ค้าส่ง","365","1","","2026/03/12","","","","","","0.28","","","","","","","","","","","","","","0","0","0","0","0","","","","","F","","","","","2026/03/13 VOLUME 1.0 FREE 0.0 VALUE 3280.00","https://drive.google.com/uc?export=download&id=1nmX55wiF_e6ECmHkThi5rW2WxJne0CZi","7","","","","","","","","","","","","","","","","0","0","0","0","1","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"โดนัท ผงปรุงรสปาปริก้า 100ก.","","","","","","","8857124780552","CS","","","","ชิ้นx1(CS)","","","","1","0","0","0","","","","28","","","","30","","","","32","","","","34","","","","28","","","","30","","","","32","","","","34","Bplus FMCG","วัตถุดิบทำอาหาร","ผงปรุงรส","โดนัท","ไม่กำหนดขนาด","บจก.กล-สรา ค้าส่ง","CR06800003","บจก. กล-สรา ค้าส่ง","365","0","","2026/03/12","","","","","","76.0","","","","","","","","","","","","","","0","0","0","0","0.1","","","","","F","","","","","2026/03/13 VOLUME 120.0 FREE 0.0 VALUE 22.29","https://drive.google.com/uc?export=download&id=16w3ozcSijDmpptiC_9kvEobIXX7MdTmf","7","","","","","","","","","","","","","","","","0","0","0","0","1","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"โดนัท ผงปรุงรสปาปริก้า 500ก..","8857124780026","EA","","","","","8857124891137","CS","ชิ้นx1(EA)","","","ลังx40(CS)","1","","","40","0","0","0","84","","","3335","86","","","3415","89","","","3535","91","","","3615","84","","","3335","86","","","3415","89","","","3535","91","","","3615","Bplus FMCG","อาหารสำเร็จรูป","ผงปรุงรส","โดนัท","ไม่กำหนดขนาด","บจก.กล-สรา ค้าส่ง","CR06800003","บจก. กล-สรา ค้าส่ง","365","1","","2026/03/12","","","","","","0.1","","","","","","","","","","","","","","0","0","0","0","0.3","","","","","F","","","","","2026/03/13 VOLUME 1.0 FREE 0.0 VALUE 3280.00","https://drive.google.com/uc?export=download&id=15ZcxkxUl_e43hksBY-6uhKQfP9lO8DSJ","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"โดนัท ผงปรุงรสวิ้งซ์แซ่บ 100ก.","","","","","","","8857124780491","CS","","","","ชิ้นx1(CS)","","","","1","0","0","0","","","","28","","","","30","","","","32","","","","34","","","","28","","","","30","","","","32","","","","34","Bplus FMCG","วัตถุดิบทำอาหาร","ผงปรุงรส","โดนัท","ไม่กำหนดขนาด","บจก.กล-สรา ค้าส่ง","CR06800003","บจก. กล-สรา ค้าส่ง","365","1","","2026/03/12","","","","","","120.0","","","","","","","","","","","","","","0","0","0","0","0.1","","","","","F","","","","","2026/03/13 VOLUME 120.0 FREE 0.0 VALUE 22.29","https://drive.google.com/uc?export=download&id=1Mby0cYBs03rgdLrs6Mqh91holLPbvve2","7","","","","","","","","","","","","","","","","0","0","0","0","2","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"โดนัท ผงปรุงรสวิ้งซ์แซ่บ 500ก.","","","","","","","8857124780040","CS","","","","ชิ้นx1(CS)","","","","1","0","0","0","","","","85","","","","87","","","","89","","","","91","","","","85","","","","87","","","","89","","","","91","Bplus FMCG","อาหารสำเร็จรูป","ผงปรุงรส","โดนัท","ไม่กำหนดขนาด","บจก.กล-สรา ค้าส่ง","CR06800003","บจก. กล-สรา ค้าส่ง","365","0","","2026/03/12","","","","","","14.0","","","","","","","","","","","","","","0","0","0","0","0.2","","","","","F","","","","","2026/03/13 VOLUME 40.0 FREE 0.0 VALUE 82.00","https://drive.google.com/uc?export=download&id=1m3zCGfS_-GxomUHCb3AaWZH38V9ZZrof","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"โดนัท ผงปรุงรสสาหร่าย 500ก.","","","","","","","8857124780088","CS","","","","ชิ้นx1(CS)","","","","1","0","0","0","","","","85","","","","87","","","","89","","","","91","","","","85","","","","87","","","","89","","","","91","Bplus FMCG","อาหารสำเร็จรูป","ผงปรุงรส","โดนัท","ไม่กำหนดขนาด","บจก.กล-สรา ค้าส่ง","CR06800003","บจก. กล-สรา ค้าส่ง","365","0","","2026/03/12","","","","","","33.0","","","","","","","","","","","","","","0","0","0","0","0","","","","","F","","","","","2026/03/13 VOLUME 40.0 FREE 0.0 VALUE 82.00","https://drive.google.com/uc?export=download&id=11EJENVJWea0X3DfWNB_j3e9qOZTFaTFB","7","","","","","","","","","","","","","","","","0","0","0","0","1","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ไดนัสตี้ น้ำตาลโดนัท 1000ก.","8859405700013","EA","","","","","8859405700068","CS","ชิ้นx1(EA)","","","กระสอบx16(CS)","1","","","16","0","0","0","62","","","972","63","","","982","64","","","991","65","","","996","62","","","972","63","","","982","64","","","991","65","","","996","Bplus FMCG","วัตถุดิบทำอาหาร","วัตถุดิบทำอาหาร","ไดนาสตี้","ไม่กำหนดขนาด","บจก. กล-สรา ค้าส่ง","CR06800003","บจก. กล-สรา ค้าส่ง","365","1","","2026/03/10","","","","","3.0","0.3","","","","","","","","","","","","","","0","0","0","0","0.1","","","","","F","","","","2026/03/10 VOLUME 5.0 FREE 0.0 VALUE 948.00","2026/03/10 VOLUME 5.0 FREE 0.0 VALUE 948.00","https://drive.google.com/uc?export=download&id=1d0ACxvApAL7zl4knTTxj8HQgWdixABrf","7","","","","","","","","","","","","","","","","0","0","0","0","6","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ตราช้าง โคทติ้งรสช็อกโกแลต 1กก.","8858254000015","EA","","","","","8858254011126","CS","ชิ้นx1(EA)","","","ลังx7(CS)","1","","","7","0","0","0","125","","","841","126","","","849","127","","","857","128","","","862","125","","","841","126","","","849","127","","","857","128","","","862","Bplus FMCG","วัตถุดิบทำอาหาร","วัตถุดิบทำอาหาร","ตราช้าง","ไม่กำหนดขนาด","บจก. กล-สรา ค้าส่ง","CR06800003","บจก. กล-สรา ค้าส่ง","365","1","","2026/03/10","","","","","","1.6","","","","","","","","","","","","","","0","0","0","0","0","","","","","F","","","","","2026/03/10 VOLUME 3.0 FREE 0.0 VALUE 820.00","https://drive.google.com/uc?export=download&id=1hDilVkwHQyrXLRvvWp5qRT2lrsF77rSW","7","","","","","","","","","","","","","","","","0","0","0","0","2","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ตราช้าง โคทติ้งไวท์เคลือบหน้าขนม 1กก.","8858254000145","EA","","","","","8858254111256","CS","ชิ้นx1(EA)","","","ลังx7(CS)","1","","","7","0","0","0","108","","","726","109","","","733","110","","","740","111","","","744","","","","726","","","","733","","","","740","","","","744","Bplus FMCG","วัตถุดิบทำอาหาร","วัตถุดิบทำอาหาร","ตราช้าง","ไม่กำหนดขนาด","บจก. กล-สรา ค้าส่ง","CR06800003","บจก. กล-สรา ค้าส่ง","365","1","","2026/03/10","","","","","","3.4","","","","","","","","","","","","","","0","0","0","0","0","","","","","F","","","","","2026/03/10 VOLUME 18.0 FREE 0.0 VALUE 708.01","https://drive.google.com/uc?export=download&id=1NToUopZiv1kVIbAuwlkSWngUKi77cW0_","7","","","","","","","","","","","","","","","","0","0","0","0","1","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ตราช้าง โคทติ้งสตรอเบอร์รี่เคลือบหน้าขนม 1กก.","8858254000176","EA","","","","","9851254111287","CS","ชิ้นx1(EA)","","","ลังx7(CS)","1","","","7","0","0","0","108","","","726","109","","","733","110","","","740","111","","","744","108","","","726","109","","","733","110","","","740","111","","","744","Bplus FMCG","วัตถุดิบทำอาหาร","วัตถุดิบทำอาหาร","ตราช้าง","ไม่กำหนดขนาด","บจก. กล-สรา ค้าส่ง","CR06800003","บจก. กล-สรา ค้าส่ง","365","1","","2026/03/10","","","","","","4.0","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","2026/03/10 VOLUME 10.0 FREE 0.0 VALUE 708.01","https://drive.google.com/uc?export=download&id=1sVOY77X5OZDEOvaTcpGOcNK87tWJwI2B","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ตราช้าง ช็อกโกไรซ์โรยหน้าขนม 1000ก.","8858254001272","EA","","","","","8858254112383","CS","ชิ้นx1(EA)","","","ลังx10(CS)","1","","","10","0","0","0","115","","","1110","117","","","1130","120","","","1160","123","","","1190","115","","","1110","117","","","1130","120","","","1160","123","","","1190","Bplus FMCG","วัตถุดิบทำอาหาร","วัตถุดิบทำอาหาร","ตราช้าง","ไม่กำหนดขนาด","บจก. กล-สรา ค้าส่ง","CR06800003","บจก. กล-สรา ค้าส่ง","365","1","","2026/03/09","","","","","","1.8","","","","","","","","","","","","","","0","0","0","0","0","","","","","F","","","","","2026/03/10 VOLUME 3.0 FREE 0.0 VALUE 945.98","https://drive.google.com/uc?export=download&id=1HDeg4PslvyMPiZSghhZMoyP5DPwm0vHu","7","","","","","","","","","","","","","","","","0","0","0","0","1","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ตราช้าง เม็ดช็อกโกเฟลกโรยหน้าขนม 1000ก.","8858254001845","EA","","","","","8858254112956","CS","ชิ้นx1(EA)","","","ลังx10(CS)","1","","","10","0","0","0","115","","","1110","117","","","1130","120","","","1160","123","","","1190","115","","","1110","117","","","1130","120","","","1160","123","","","1190","Bplus FMCG","วัตถุดิบทำอาหาร","วัตถุดิบทำอาหาร","ตราช้าง","ไม่กำหนดขนาด","บจก. กล-สรา ค้าส่ง","CR06800003","บจก. กล-สรา ค้าส่ง","365","0","","2026/03/09","","","","","","1.1","","","","","","","","","","","","","","0","0","0","0","0.1","","","","","F","","","","","2026/03/10 VOLUME 2.0 FREE 0.0 VALUE 945.98","https://drive.google.com/uc?export=download&id=1zS2ZCML56I7tzC882ysntlSwGtpbhmqL","7","","","","","","","","","","","","","","","","0","0","0","0","2","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ตราช้าง เรนโบว์สีฟ้าม่วงโรยหน้าขนม 1000ก.","8858254001326","EA","","","","","8858254112437","CS","ชิ้นx1(EA)","","","ลังx10(CS)","1","","","10","0","0","0","115","","","1110","117","","","1130","120","","","1160","123","","","1190","115","","","1110","117","","","1130","120","","","1160","123","","","1190","Bplus FMCG","วัตถุดิบทำอาหาร","วัตถุดิบทำอาหาร","ตราช้าง","ไม่กำหนดขนาด","บจก. กล-สรา ค้าส่ง","CR06800003","บจก. กล-สรา ค้าส่ง","365","1","","2026/03/09","","","","","","0.9","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","2026/03/10 VOLUME 1.0 FREE 0.0 VALUE 959.98","https://drive.google.com/uc?export=download&id=1xmzwaNW2lVYMYxTdsXbJ9i_0P_KlDD7G","7","","","","","","","","","","","","","","","","0","0","0","0","1","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ตราช้าง เรนโบว์สีโรยหน้าขนม 1000ก.","8858254001166","EA","","","","","8858254112277","CS","ชิ้นx1(EA)","","","ลังx10(CS)","1","","","10","0","0","0","115","","","1110","117","","","1130","120","","","1160","123","","","1190","115","","","1110","117","","","1130","120","","","1160","123","","","1190","Bplus FMCG","วัตถุดิบทำอาหาร","วัตถุดิบทำอาหาร","ตราช้าง","ไม่กำหนดขนาด","บจก. กล-สรา ค้าส่ง","CR06800003","บจก. กล-สรา ค้าส่ง","365","1","","2026/03/09","","","","","","1.5","","","","","","","","","","","","","","0","0","0","0","0","","","","","F","","","","","2026/03/10 VOLUME 2.0 FREE 0.0 VALUE 959.98","https://drive.google.com/uc?export=download&id=1uX2nmlC4wWWWjUin9XquGmzl5BTQrBKd","7","","","","","","","","","","","","","","","","0","0","0","0","1","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ตราช้าง ลูกปัดเรนโบว์โรยหน้าขนม 1000ก.","8858254000855","EA","","","","","8858254111966","CS","ชิ้นx1(EA)","","","ลังx10(CS)","1","","","10","0","0","0","115","","","1110","117","","","1130","120","","","1160","123","","","1190","115","","","1110","117","","","1130","120","","","1160","123","","","1190","Bplus FMCG","วัตถุดิบทำอาหาร","วัตถุดิบทำอาหาร","ตราช้าง","ไม่กำหนดขนาด","บจก. กล-สรา ค้าส่ง","CR06800003","บจก. กล-สรา ค้าส่ง","365","1","","2026/03/09","","","","","","1.8","","","","","","","","","","","","","","0","0","0","0","0","","","","","F","","","","","2026/03/10 VOLUME 2.0 FREE 0.0 VALUE 959.98","https://drive.google.com/uc?export=download&id=13sejqNcDUdIQHqFuwwHE0lDKDi2OTP-M","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ตาตัว แดรี่วิป วิปครีม 400ก.","","","","","","","9414977000016","CS","","","","ชิ้นx1(CS)","","","","1","0","0","0","","","","154","","","","156","","","","158","","","","160","","","","154","","","","156","","","","158","","","","160","Bplus FMCG","วัตถุดิบทำอาหาร","วัตถุดิบทำอาหาร","ตาตัว","ไม่กำหนดขนาด","บจก.กล-สรา ค้าส่ง","CR06900071","บจก. กล-สรา ค้าส่ง","365","1","","2026/03/13","","","","","","5.0","","","","","","","","","","","","","","0","0","0","0","0.1","","","","","F","","","","","2026/06/02 VOLUME 12.0 FREE 0.0 VALUE 150.00","https://drive.google.com/uc?export=download&id=1lFRJ8MZRCkFoKhcjNN3GRqarmyG-15uE","7","","","","","","","","","","","","","","","","0","0","0","0","2","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ถ้วยทอง ลำไยอบแห้ง 1กก.","8856001000172","EA","","","","","8856001111283","CS","ชิ้นx1(EA)","","","ลังx20(CS)","1","","","20","0","0","0","234","","","4655","236","","","4695","238","","","4735","240","","","4795","234","","","4655","236","","","4695","238","","","4735","240","","","4795","Bplus FMCG","วัสดุสิ้นเปลือง","วัสดุสิ้นเปลือง","ไม่กำหนดยี่ห้อ","ไม่กำหนดขนาด","บจก.กล-สรา ค้าส่ง","CR06800003","บจก. กล-สรา ค้าส่ง","365","1","","2026/03/18","","","","","","1.16","","","","","","","","","","","","","","0","0","0","0","0","","","","","F","","","","","2026/03/26 VOLUME 2.0 FREE 0.0 VALUE 4499.95","https://drive.google.com/uc?export=download&id=14nZkTjiNfNwKolcgW7_loxZlpEr49WsC","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ถาดอบอลูมิเนียม 8*12*1.5","","","","","","","8859826813699","CS","","","","ชิ้นx1(CS)","","","","1","0","0","0","","","","88","","","","91","","","","95","","","","99","","","","78","","","","80","","","","85","","","","99","Bplus FMCG","วัสดุสิ้นเปลือง","วัสดุสิ้นเปลือง","ไม่กำหนดยี่ห้อ","ไม่กำหนดขนาด","บจก.กล-สรา ค้าส่ง","CR06800003","บจก. กล-สรา ค้าส่ง","365","1","","2026/03/13","","","","","","0.0","","","","","","","","","","","","","","0","0","0","0","0.1","","","","","F","","","","","2026/03/13 VOLUME 3.0 FREE 0.0 VALUE 66.00","https://drive.google.com/uc?export=download&id=115oy7FQ_e7eAzMN4F1EWzby4SsCiN7M3","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ถาดอบอลูมิเนียม 9*9*1.5","","","","","","","8859826813774","CS","","","","ชิ้นx1(CS)","","","","1","0","0","0","","","","78","","","","81","","","","85","","","","89","","","","78","","","","81","","","","85","","","","89","Bplus FMCG","วัสดุสิ้นเปลือง","วัสดุสิ้นเปลือง","ไม่กำหนดยี่ห้อ","ไม่กำหนดขนาด","บจก.กล-สรา ค้าส่ง","CR06800003","บจก. กล-สรา ค้าส่ง","365","1","","2026/03/13","","","","","","4.0","","","","","","","","","","","","","","0","0","0","0","0","","","","","F","","","","","2026/06/02 VOLUME 6.0 FREE 0.0 VALUE 66.00","https://drive.google.com/uc?export=download&id=1pFbMRg7JOMnY0iJGi7SEcgPtl7_RapkC","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ถาดอลูมิเนียม 10*13*1.5","","","","","","","8859826813989","CS","","","","ชิ้นx1(CS)","","","","1","0","0","0","","","","98","","","","100","","","","105","","","","109","","","","98","","","","100","","","","105","","","","109","Bplus FMCG","วัสดุสิ้นเปลือง","วัสดุสิ้นเปลือง","ไม่กำหนดยี่ห้อ","ไม่กำหนดขนาด","บจก.กล-สรา ค้าส่ง","CR06800003","บจก. กล-สรา ค้าส่ง","365","1","","2026/03/13","","","","","","5.0","","","","","","","","","","","","","","0","0","0","0","0","","","","","F","","","","","2026/06/02 VOLUME 5.0 FREE 0.0 VALUE 76.00","https://drive.google.com/uc?export=download&id=1GD5GB4d8C6wWToQCSmA2xRk-Qfcgryj_","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
