"PRODUCT NAME","CODE EA","RATTANA UNIT EA","CODE PA","RATTANA UNIT PA","CODE BP","RATTANA UNIT BP","CODE CS","RATTANA UNIT CS","UNIT EA","UNIT PA","UNIT BP","UNIT CS","QTY EA","QTY PA","QTY BP","QTY CS","CS PALLET","CS LAYER","NUMBER OF LAYERS","PRICE CC00 EA","PRICE CC00 PA","PRICE CC00 BP","PRICE CC00 CS","PRICE CC01 EA","PRICE CC01 PA","PRICE CC01 BP","PRICE CC01 CS","PRICE CC02 EA","PRICE CC02 PA","PRICE CC02 BP","PRICE CC02 CS","PRICE CC03 EA","PRICE CC03 PA","PRICE CC03 BP","PRICE CC03 CS","PRICE S00 EA","PRICE S00 PA","PRICE S00 BP","PRICE S00 CS","PRICE S01 EA","PRICE S01 PA","PRICE S01 BP","PRICE S01 CS","PRICE S02 EA","PRICE S02 PA","PRICE S02 BP","PRICE S02 CS","PRICE S03 EA","PRICE S03 PA","PRICE S03 BP","PRICE S03 CS","CAT BU","CAT TYPE","CAT GROUP","CAT BRAND","CAT SIZE","CAT VENDOR","VENDOR CODE","VENDOR NAME","SKU LIFE (DAYS)","UNIT VALUE","DESCRIPTION","FIRST STOCK DATE","SHORT NAME","STOCK W1","STOCK W2","STOCK W3","STOCK W4","STOCK C4","STOCK E1","STOCK EW2","STOCK EW3","STOCK EW4","STOCK V1","STOCK V2","STOCK V3","STOCK V4","STOCK SM","STOCK SD","STOCK HW1","STOCK HW4","STOCK PROMO1","AVERAGE 60D_W1","AVERAGE 60D_W2","AVERAGE 60D_W3","AVERAGE 60D_W4","AVERAGE 60D_C4","RANK W1","RANK W2","RANK W3","RANK W4","RANK C4","IB W1","IB W2","IB W3","IB W4","IB C4","SKU_USAGE","SKU_LEAD_TIME","OR W1","OR REF W1","OR_CS.EA W1","OR W2","OR REF W2","OR_CS.EA W2","OR W3","OR REF W3","OR_CS.EA W3","OR W4","OR REF W4","OR_CS.EA W4","OR C4","OR REF C4","OR_CS.EA C4","SELL 7D W1","SELL 7D W2","SELL 7D W3","SELL 7D W4","SELL 7D C4","AGENT","GOODS_WEIGHT","VAT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"เป๊ปซี่ 430มล. (แพ็ค12)","8858998586547","EA","","","","","8858998596614","CS","ชิ้นx1(EA)","","","แพ็คx12(CS)","1","","","12","0","0","0","14","","","145","14","","","148","14","","","150","15","","","152","14","","","145","14","","","148","14","","","150","15","","","152","Bplus FMCG","น้ำอัดลม","น้ำอัดลม","เป๊ปซี่","เป๊ปซี่ 430 P12","บริษัท ซันโทรี่ เป๊ปซี่โค เบเวอเรจ","0","เงินสด","365","1","","2024/07/29","","160.0","0.0","","18.0","2.0","","","","","","","","","0.0","","0.0","0.0","0.0","0","0","0","0","0","","","","","","2026/07/02 VOLUME 150.0 FREE 10.0 VALUE 150.02","","","2026/06/26 VOLUME 20.0 FREE 0.0 VALUE 150.02","2026/06/26 VOLUME 20.0 FREE 0.0 VALUE 150.02","","0","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"แพรอท แป้งเย็น เฟรชคูลลิ่ง 260ก.แพ็คคู่","8851929025252","EA","8851929025276","PA","","","28851929025270","CS","ชิ้นx1(EA)","แพ็คx2(PA)","","ลังx24(CS)","1","2","","24","0","0","0","37","70","","825","38","70","","830","39","73","","835","40","75","","840","37","70","","825","38","70","","830","39","73","","835","40","75","","840","Bplus FMCG","ผลิตภัณฑ์ที่ใช้กับร่างกาย","ผลิตภัณฑ์ดูแลผิวกาย","แพรอท","แพรอท แป้งเย็น 260 P2","บริษัท เบอร์ลี่ ยุคเกอร์ จำกัด (มหาชน)","0","เงินสด","365","0","","2026/06/05","","","","","1.0","1.0","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","2026/07/03 VOLUME 1.0 FREE 0.0 VALUE 840.00","2026/06/20 VOLUME 2.0 FREE 0.0 VALUE 760.45","https://drive.google.com/uc?export=download&id=13vpjMc4_n7N91WStvlMmo6EsMH1EuELt","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"แพรอท แป้งเย็น แม็กคูลลิ่ง 260ก.แพ็คคู่","8851929025245","EA","8851929025269","PA","","","28851929025263","CS","ชิ้นx1(EA)","แพ็คx2(PA)","","ลังx24(CS)","1","2","","24","0","0","0","37","70","","825","38","70","","830","39","73","","835","40","75","","840","37","70","","825","38","70","","830","39","73","","835","40","75","","840","Bplus FMCG","ผลิตภัณฑ์ที่ใช้กับร่างกาย","ผลิตภัณฑ์ดูแลผิวกาย","แพรอท","แพรอท แป้งเย็น 260 P2","บริษัท เบอร์ลี่ ยุคเกอร์ จำกัด (มหาชน)","0","เงินสด","365","0","","2026/06/05","","","","","1.0","2.0","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","2026/06/23 VOLUME 3.0 FREE 0.0 VALUE 760.45","2026/06/23 VOLUME 3.0 FREE 0.0 VALUE 760.45","https://drive.google.com/uc?export=download&id=1ai95ciN12tE_UyxbGS1IanKJ5hm7GUWr","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ST สายชาร์จ Typ-c PS003 6A","","","","","","","6824351236437","CS","","","","ชิ้นx1(CS)","","","","1","0","0","0","","","","19","","","","19","","","","19","","","","20","","","","","","","","","","","","","","","","","Bplus FMCG","วัสดุสิ้นเปลือง","วัตถุดิบทำอาหาร","ไม่กำหนดยี่ห้อ","ไม่กำหนดขนาด","บจก.กล-สรา ค้าส่ง","0","เงินสด","365","0","","2026/03/18","","","","","","22.0","","","","","","","","","","","","","","0","0","0","0","0.1","","","","","F","","","","","","","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ซอฟเฟล ซอฟเฟล สเปรย์ เนเชอรัล 30ก.","8992772065191","EA","8992772069076","PA","","","48992772060330","CS","ชิ้นx1(EA)","แพ็คx4(PA)","","ลังx72(CS)","1","4","","72","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bplus FMCG","ยาสามัญประจำบ้าน","ยาสามัญประจำบ้าน","ซอฟเฟล","ไม่กำหนดขนาด","บจก. ซี.พี.คอนซูเมอร์โพรดักส์","0","เงินสด","365","0","","2026/06/23","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ซอฟเฟล โลชั่นกันยุง กลิ่นเฟรช 60มล.","8992772065085","EA","8992772064163","PA","","","48992772060268","CS","ชิ้นx1(EA)","แพ็คx4(PA)","","ลังx72(CS)","1","4","","72","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bplus FMCG","ยาสามัญประจำบ้าน","ยาสามัญประจำบ้าน","ซอฟเฟล","ไม่กำหนดขนาด","บจก. ซี.พี.คอนซูเมอร์โพรดักส์","0","เงินสด","365","0","","2026/06/23","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ซอฟเฟล สเปรย์กันยุง กลิ่นเฟรช 30ก.","8992772065146","EA","8992772064224","PA","","","48992772060255","CS","ชิ้นx1(EA)","แพ็คx6(PA)","","ลังx72(CS)","1","6","","72","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bplus FMCG","ยาสามัญประจำบ้าน","ยาสามัญประจำบ้าน","ซอฟเฟล","ไม่กำหนดขนาด","บจก. ซี.พี.คอนซูเมอร์โพรดักส์","0","เงินสด","365","0","","2026/06/23","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ซอฟเฟล สเปรย์กันยุง กลิ่นเฟรช 80ก.","8992772065184","EA","8992772064309","PA","","","48992772060309","CS","ชิ้นx1(EA)","แพ็คx4(PA)","","ลังx72(CS)","1","4","","72","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bplus FMCG","ยาสามัญประจำบ้าน","ยาสามัญประจำบ้าน","ซอฟเฟล","ไม่กำหนดขนาด","บจก. ซี.พี.คอนซูเมอร์โพรดักส์","0","เงินสด","365","0","","2026/06/23","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","https://drive.google.com/uc?export=download&id=1E93TU0FwI0dLSaJCfDrcybsUhOb1rHv7","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ซอฟเฟล สเปรย์กันยุง เนเชอรัล 80ก.","8992772065207","EA","8992772069083","PA","","","48992772060347","CS","ชิ้นx1(EA)","แพ็คx4(PA)","","ลังx72(CS)","1","4","","72","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bplus FMCG","ยาสามัญประจำบ้าน","ยาสามัญประจำบ้าน","ซอฟเฟล","ไม่กำหนดขนาด","บจก. ซี.พี.คอนซูเมอร์โพรดักส์","0","เงินสด","365","0","","2026/06/23","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"เบบี้แคร์ ของเล่นบีบ คาปิบาร่า","","","","","","","6935539618843","CS","","","","ชิ้นx1(CS)","","","","1","0","0","0","","","","","","","","","","","","","","","","37","","","","","","","","","","","","","","","","","Bplus FMCG","ผลิตภัณฑ์สำหรับเด็ก","ของเล่น","เบบี้แคร์","ไม่กำหนดขนาด","บจก. เบบี้แคร์ 2016","0","เงินสด","365","0","","2026/06/26","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"เบบี้แคร์ ของเล่นบีบ ไดโนเสาร์","","","","","","","6935539618751","CS","","","","ชิ้นx1(CS)","","","","1","0","0","0","","","","","","","","","","","","","","","","37","","","","","","","","","","","","","","","","","Bplus FMCG","ผลิตภัณฑ์สำหรับเด็ก","ของเล่น","เบบี้แคร์","ไม่กำหนดขนาด","บจก. เบบี้แคร์ 2016","0","เงินสด","365","0","","2026/06/26","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"เบบี้แคร์ ของเล่นบีบ หมี","","","","","","","6935539616665","CS","","","","ชิ้นx1(CS)","","","","1","0","0","0","","","","","","","","","","","","","","","","37","","","","","","","","","","","","","","","","","Bplus FMCG","ผลิตภัณฑ์สำหรับเด็ก","ของเล่น","เบบี้แคร์","ไม่กำหนดขนาด","บจก. เบบี้แคร์ 2016","0","เงินสด","365","0","","2026/06/26","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","7","","","","","","","","","","","","","","","","0","0","0","0","0","","0","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
